Reading /home/ssamal/workspace/conexpng/floating_codings_2.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:128
No of concepts:293
	Completed reading 90 records
No of Objects: 100
No of attributes: 128
No of concepts: 2074
Read time: 942ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
 o4.0_58        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00]]    [[8.0]]      [4.0]
 o4.0_56        {7}    [[0.00, 0.14, 0.00, 0.14, 0.28, 0.28, 0.00, 0.00, 0.14, 0.00]]    [[4.0]]      [4.0] _/
 o7.0_78        {9}    [[0.00, 0.11, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.22, 0.00]]    [[5.0]]      [7.0]
 o4.0_50        {7}    [[0.00, 0.28, 0.00, 0.00, 0.14, 0.28, 0.14, 0.00, 0.14, 0.00]]    [[1.0]]      [4.0]
 o2.0_44        {8}    [[0.00, 0.25, 0.25, 0.37, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [2.0]
 o7.0_81        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00]]    [[8.0]]      [7.0]
 o3.0_39        {8}    [[0.00, 0.25, 0.25, 0.37, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o0.0_34        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o1.0_40        {8}    [[0.25, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.37, 0.00]]    [[8.0]]      [1.0]
 o1.0_41        {4}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o6.0_72       {10}    [[0.10, 0.20, 0.00, 0.10, 0.10, 0.20, 0.20, 0.00, 0.10, 0.00]]    [[1.0]]      [6.0]
 o8.0_90       {13}    [[0.07, 0.23, 0.07, 0.00, 0.07, 0.00, 0.00, 0.15, 0.38, 0.00]]    [[8.0]]      [8.0] _/
  o1.0_6        {2}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
  o1.0_3        {7}    [[0.14, 0.28, 0.00, 0.00, 0.14, 0.00, 0.00, 0.28, 0.14, 0.00]]    [[1.0]]      [1.0] _/
  o1.0_4        {4}    [[0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o6.0_76        {8}    [[0.00, 0.00, 0.12, 0.25, 0.12, 0.12, 0.25, 0.12, 0.00, 0.00]]    [[3.0]]      [6.0]
 o8.0_94       {11}    [[0.09, 0.18, 0.00, 0.18, 0.00, 0.09, 0.00, 0.00, 0.09, 0.36]]    [[9.0]]      [8.0]
 o1.0_47        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00]]    [[8.0]]      [1.0]
  o8.0_8        {7}    [[0.14, 0.28, 0.00, 0.00, 0.14, 0.00, 0.00, 0.28, 0.14, 0.00]]    [[1.0]]      [8.0]
 o2.0_51       {12}    [[0.08, 0.00, 0.08, 0.08, 0.25, 0.08, 0.33, 0.00, 0.08, 0.00]]    [[6.0]]      [2.0]
 o8.0_11        {3}    [[0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.33, 0.00]]    [[1.0]]      [8.0]
 o0.0_26        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o7.0_83        {8}    [[0.25, 0.00, 0.25, 0.25, 0.00, 0.12, 0.00, 0.12, 0.00, 0.00]]    [[0.0]]      [7.0]
 o8.0_19        {6}    [[0.00, 0.16, 0.00, 0.33, 0.00, 0.16, 0.16, 0.00, 0.16, 0.00]]    [[3.0]]      [8.0]
 o0.0_85        {7}    [[0.28, 0.14, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00]]    [[0.0]]      [0.0] _/
 o0.0_84        {6}    [[0.16, 0.16, 0.00, 0.16, 0.16, 0.00, 0.33, 0.00, 0.00, 0.00]]    [[6.0]]      [0.0]
 o9.0_21       {11}    [[0.09, 0.18, 0.00, 0.18, 0.00, 0.09, 0.00, 0.00, 0.09, 0.36]]    [[9.0]]      [9.0] _/
 o1.0_59        {8}    [[0.12, 0.12, 0.00, 0.12, 0.12, 0.00, 0.00, 0.25, 0.12, 0.12]]    [[7.0]]      [1.0]
  o3.0_7        {6}    [[0.00, 0.16, 0.00, 0.33, 0.00, 0.16, 0.16, 0.00, 0.16, 0.00]]    [[3.0]]      [3.0] _/
 o1.0_49        {3}    [[0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.33, 0.00]]    [[1.0]]      [1.0] _/
 o8.0_20       {13}    [[0.00, 0.00, 0.00, 0.00, 0.15, 0.23, 0.00, 0.15, 0.23, 0.23]]    [[5.0]]      [8.0]
 o5.0_42        {3}    [[0.00, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00]]    [[2.0]]      [5.0]
  o3.0_2        {8}    [[0.00, 0.00, 0.12, 0.25, 0.12, 0.12, 0.25, 0.12, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o8.0_28        {3}    [[0.00, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00]]    [[2.0]]      [8.0]
 o8.0_29        {7}    [[0.28, 0.14, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00]]    [[0.0]]      [8.0]
 o4.0_75        {9}    [[0.11, 0.11, 0.11, 0.00, 0.11, 0.00, 0.22, 0.00, 0.22, 0.11]]    [[6.0]]      [4.0]
 o7.0_57        {7}    [[0.14, 0.28, 0.00, 0.00, 0.14, 0.00, 0.00, 0.28, 0.14, 0.00]]    [[1.0]]      [7.0]
 o4.0_70        {9}    [[0.11, 0.11, 0.11, 0.33, 0.11, 0.11, 0.11, 0.00, 0.00, 0.00]]    [[3.0]]      [4.0]
 o7.0_53       {11}    [[0.09, 0.00, 0.00, 0.09, 0.18, 0.18, 0.00, 0.27, 0.09, 0.09]]    [[7.0]]      [7.0] _/
 o7.0_52       {12}    [[0.16, 0.08, 0.08, 0.00, 0.08, 0.08, 0.25, 0.08, 0.08, 0.08]]    [[6.0]]      [7.0]
 o5.0_48        {5}    [[0.00, 0.20, 0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.20, 0.00]]    [[5.0]]      [5.0] _/
 o6.0_14        {8}    [[0.25, 0.12, 0.00, 0.12, 0.00, 0.37, 0.12, 0.00, 0.00, 0.00]]    [[5.0]]      [6.0]
 o9.0_97        {9}    [[0.11, 0.11, 0.11, 0.00, 0.11, 0.00, 0.22, 0.00, 0.22, 0.11]]    [[6.0]]      [9.0]
 o3.0_92        {8}    [[0.25, 0.00, 0.25, 0.25, 0.00, 0.12, 0.00, 0.12, 0.00, 0.00]]    [[0.0]]      [3.0]
 o1.0_63        {3}    [[0.00, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00]]    [[1.0]]      [1.0] _/
 o3.0_93       {11}    [[0.09, 0.18, 0.00, 0.18, 0.00, 0.09, 0.00, 0.00, 0.09, 0.36]]    [[9.0]]      [3.0]
 o1.0_67        {3}    [[0.00, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00]]    [[1.0]]      [1.0] _/
 o2.0_37        {8}    [[0.25, 0.00, 0.25, 0.25, 0.00, 0.12, 0.00, 0.12, 0.00, 0.00]]    [[0.0]]      [2.0]
 o7.0_62        {8}    [[0.12, 0.12, 0.00, 0.12, 0.12, 0.00, 0.00, 0.25, 0.12, 0.12]]    [[7.0]]      [7.0] _/
 o9.0_91        {6}    [[0.00, 0.16, 0.00, 0.00, 0.00, 0.33, 0.16, 0.00, 0.16, 0.16]]    [[5.0]]      [9.0]
 o4.0_61        {4}    [[0.00, 0.50, 0.00, 0.00, 0.25, 0.00, 0.00, 0.25, 0.00, 0.00]]    [[1.0]]      [4.0]

Objects classified correctly: 41
Total objects: 100
Success: 41.0%
