Reading /home/ssamal/workspace/conexpng/floating_codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:343
	Completed reading 90 records
No of Objects: 100
No of attributes: 64
No of concepts: 2076
Read time: 1069ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
 o8.0_28        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [8.0] _/
 o8.0_29       {13}    [[0.15, 0.00, 0.07, 0.15, 0.15, 0.00, 0.15, 0.15, 0.07, 0.07]]    [[0.0]]      [8.0]
 o4.0_75       {17}    [[0.00, 0.17, 0.11, 0.00, 0.23, 0.00, 0.00, 0.11, 0.11, 0.23]]    [[4.0]]      [4.0] _/
 o7.0_57        {8}    [[0.12, 0.25, 0.00, 0.00, 0.12, 0.00, 0.00, 0.37, 0.12, 0.00]]    [[7.0]]      [7.0] _/
 o4.0_70       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [4.0]
 o7.0_53       {10}    [[0.30, 0.00, 0.20, 0.20, 0.00, 0.10, 0.00, 0.20, 0.00, 0.00]]    [[0.0]]      [7.0]
 o7.0_52       {14}    [[0.14, 0.21, 0.07, 0.00, 0.14, 0.07, 0.07, 0.14, 0.00, 0.14]]    [[1.0]]      [7.0]
 o5.0_48        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [5.0] _/
 o6.0_14        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [6.0]
 o9.0_97       {14}    [[0.14, 0.21, 0.07, 0.00, 0.14, 0.07, 0.07, 0.14, 0.00, 0.14]]    [[1.0]]      [9.0]
 o3.0_92       {10}    [[0.30, 0.00, 0.20, 0.20, 0.00, 0.10, 0.00, 0.20, 0.00, 0.00]]    [[0.0]]      [3.0]
 o1.0_63       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [1.0]
 o3.0_93       {13}    [[0.00, 0.07, 0.23, 0.30, 0.00, 0.15, 0.15, 0.07, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o1.0_67        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [1.0]
 o2.0_37       {10}    [[0.30, 0.00, 0.20, 0.20, 0.00, 0.10, 0.00, 0.20, 0.00, 0.00]]    [[0.0]]      [2.0]
 o4.0_61       {12}    [[0.08, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00, 0.25, 0.08, 0.08]]    [[1.0]]      [4.0]
 o9.0_91       {12}    [[0.08, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00, 0.25, 0.08, 0.08]]    [[1.0]]      [9.0]
 o7.0_62       {11}    [[0.00, 0.09, 0.09, 0.00, 0.36, 0.00, 0.00, 0.36, 0.09, 0.00]]    [[4.0]]      [7.0]

Objects classified correctly: 37
Total objects: 100
Success: 37.0%
