Reading /home/ssamal/workspace/conexpng/codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:8
	Completed reading 990 records
No of Objects: 1000
No of attributes: 64
No of concepts: 2080
Read time: 15119ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
o9.0_613      {120}    [[0.13, 0.09, 0.14, 0.07, 0.10, 0.09, 0.05, 0.09, 0.07, 0.13]]    [[2.0]]      [9.0]
o7.0_321      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [7.0]
o9.0_850       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [9.0]
o9.0_852      {104}    [[0.05, 0.13, 0.10, 0.10, 0.14, 0.05, 0.06, 0.08, 0.08, 0.15]]    [[9.0]]      [9.0] _/
o9.0_611      {124}    [[0.06, 0.14, 0.11, 0.11, 0.08, 0.08, 0.08, 0.08, 0.10, 0.12]]    [[1.0]]      [9.0]
o5.0_288       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [5.0]
o5.0_286      {136}    [[0.05, 0.13, 0.13, 0.12, 0.10, 0.06, 0.08, 0.11, 0.07, 0.11]]    [[1.0]]      [5.0]
o5.0_285      {136}    [[0.05, 0.13, 0.13, 0.12, 0.10, 0.06, 0.08, 0.11, 0.07, 0.11]]    [[1.0]]      [5.0]
o7.0_303       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [7.0]
o7.0_305      {124}    [[0.10, 0.07, 0.12, 0.12, 0.12, 0.04, 0.05, 0.12, 0.11, 0.08]]    [[2.0]]      [7.0]
o7.0_547       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [7.0]
o7.0_549      {132}    [[0.07, 0.15, 0.09, 0.09, 0.07, 0.07, 0.09, 0.10, 0.12, 0.10]]    [[1.0]]      [7.0]
o5.0_283      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [5.0]
o9.0_645       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [9.0]
 o8.0_65      {120}    [[0.07, 0.13, 0.13, 0.09, 0.14, 0.08, 0.06, 0.07, 0.09, 0.10]]    [[4.0]]      [8.0]
o7.0_791       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [7.0]
o9.0_647       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [9.0]
 o8.0_63       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [8.0]
o9.0_641      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [9.0] _/
o7.0_793      {108}    [[0.09, 0.13, 0.07, 0.06, 0.09, 0.12, 0.12, 0.08, 0.08, 0.12]]    [[1.0]]      [7.0]
o9.0_884       {96}    [[0.13, 0.11, 0.14, 0.04, 0.13, 0.10, 0.10, 0.05, 0.07, 0.09]]    [[2.0]]      [9.0]
o4.0_867      {128}    [[0.12, 0.08, 0.10, 0.10, 0.11, 0.07, 0.06, 0.09, 0.10, 0.11]]    [[0.0]]      [4.0]
o9.0_883      {144}    [[0.04, 0.15, 0.09, 0.08, 0.15, 0.07, 0.13, 0.06, 0.06, 0.13]]    [[1.0]]      [9.0]
o9.0_643      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [9.0] _/
o4.0_869       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [4.0]
o9.0_885       {96}    [[0.13, 0.11, 0.14, 0.04, 0.13, 0.10, 0.10, 0.05, 0.07, 0.09]]    [[2.0]]      [9.0]
o3.0_184      {132}    [[0.08, 0.12, 0.05, 0.09, 0.12, 0.10, 0.07, 0.08, 0.14, 0.11]]    [[8.0]]      [3.0]
o9.0_407      {108}    [[0.09, 0.13, 0.07, 0.06, 0.09, 0.12, 0.12, 0.08, 0.08, 0.12]]    [[1.0]]      [9.0]
o9.0_649       {88}    [[0.10, 0.06, 0.10, 0.05, 0.15, 0.10, 0.10, 0.04, 0.09, 0.17]]    [[9.0]]      [9.0] _/
o3.0_182      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [3.0]
o9.0_409       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [9.0]
o3.0_180      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [3.0]
o6.0_705      {120}    [[0.10, 0.10, 0.15, 0.08, 0.05, 0.09, 0.10, 0.12, 0.05, 0.13]]    [[2.0]]      [6.0]
o6.0_706      {120}    [[0.10, 0.10, 0.15, 0.08, 0.05, 0.09, 0.10, 0.12, 0.05, 0.13]]    [[2.0]]      [6.0]
o6.0_703       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [6.0]
o5.0_291       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [5.0]
o9.0_882      {144}    [[0.04, 0.15, 0.09, 0.08, 0.15, 0.07, 0.13, 0.06, 0.06, 0.13]]    [[1.0]]      [9.0]
o6.0_708      {132}    [[0.09, 0.12, 0.12, 0.07, 0.09, 0.07, 0.08, 0.07, 0.10, 0.12]]    [[1.0]]      [6.0]
o7.0_779       {96}    [[0.13, 0.11, 0.14, 0.04, 0.13, 0.10, 0.10, 0.05, 0.07, 0.09]]    [[2.0]]      [7.0]
o5.0_293       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [5.0]
o7.0_781      {120}    [[0.14, 0.11, 0.14, 0.09, 0.12, 0.08, 0.06, 0.05, 0.09, 0.09]]    [[0.0]]      [7.0]
o2.0_766      {108}    [[0.09, 0.15, 0.12, 0.08, 0.10, 0.09, 0.06, 0.08, 0.07, 0.12]]    [[1.0]]      [2.0]
o2.0_768      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [2.0]
o1.0_934      {120}    [[0.14, 0.11, 0.14, 0.09, 0.12, 0.08, 0.06, 0.05, 0.09, 0.09]]    [[0.0]]      [1.0]
o9.0_639      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [9.0] _/
o1.0_937       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [1.0] _/
o1.0_936       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [1.0] _/
o1.0_935      {120}    [[0.14, 0.11, 0.14, 0.09, 0.12, 0.08, 0.06, 0.05, 0.09, 0.09]]    [[0.0]]      [1.0]
o2.0_505      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [2.0]
o5.0_460      {112}    [[0.08, 0.08, 0.14, 0.10, 0.09, 0.06, 0.08, 0.09, 0.06, 0.16]]    [[9.0]]      [5.0]
o2.0_993      {120}    [[0.10, 0.10, 0.15, 0.08, 0.05, 0.09, 0.10, 0.12, 0.05, 0.13]]    [[2.0]]      [2.0] _/
o9.0_422      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [9.0] _/
o7.0_378       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [7.0]
o9.0_424       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [9.0]
o5.0_458      {116}    [[0.08, 0.12, 0.09, 0.09, 0.11, 0.06, 0.09, 0.08, 0.12, 0.11]]    [[1.0]]      [5.0]
o2.0_991       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [2.0] _/
 o8.0_94       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [8.0]
 o8.0_96      {112}    [[0.08, 0.16, 0.04, 0.10, 0.10, 0.11, 0.06, 0.12, 0.05, 0.13]]    [[1.0]]      [8.0]
o3.0_178      {128}    [[0.12, 0.08, 0.10, 0.10, 0.11, 0.07, 0.06, 0.09, 0.10, 0.11]]    [[0.0]]      [3.0]
o2.0_503      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [2.0]
o1.0_710      {132}    [[0.09, 0.12, 0.12, 0.07, 0.09, 0.07, 0.08, 0.07, 0.10, 0.12]]    [[1.0]]      [1.0] _/
o1.0_956      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [1.0] _/
o3.0_172       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [3.0]
o3.0_170      {108}    [[0.09, 0.13, 0.07, 0.06, 0.09, 0.12, 0.12, 0.08, 0.08, 0.12]]    [[1.0]]      [3.0]
o1.0_954      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [1.0]
o1.0_712       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [1.0]
o1.0_959      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [1.0] _/
o5.0_247      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [5.0]
o7.0_589       {96}    [[0.13, 0.11, 0.14, 0.04, 0.13, 0.10, 0.10, 0.05, 0.07, 0.09]]    [[2.0]]      [7.0]
o9.0_205      {128}    [[0.10, 0.09, 0.07, 0.10, 0.08, 0.11, 0.10, 0.10, 0.07, 0.12]]    [[9.0]]      [9.0] _/
o4.0_826      {140}    [[0.15, 0.12, 0.12, 0.07, 0.10, 0.10, 0.10, 0.05, 0.08, 0.08]]    [[0.0]]      [4.0]
o7.0_110      {120}    [[0.10, 0.11, 0.07, 0.06, 0.14, 0.08, 0.09, 0.10, 0.06, 0.15]]    [[9.0]]      [7.0]
o4.0_828      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [4.0]
o7.0_111      {120}    [[0.10, 0.11, 0.07, 0.06, 0.14, 0.08, 0.09, 0.10, 0.06, 0.15]]    [[9.0]]      [7.0]
o7.0_112      {112}    [[0.05, 0.14, 0.09, 0.05, 0.06, 0.13, 0.08, 0.16, 0.10, 0.10]]    [[7.0]]      [7.0] _/
o9.0_203      {132}    [[0.07, 0.14, 0.09, 0.09, 0.12, 0.04, 0.12, 0.11, 0.08, 0.10]]    [[1.0]]      [9.0]
o7.0_113      {112}    [[0.05, 0.14, 0.09, 0.05, 0.06, 0.13, 0.08, 0.16, 0.10, 0.10]]    [[7.0]]      [7.0] _/
o1.0_961      {128}    [[0.10, 0.14, 0.10, 0.04, 0.09, 0.11, 0.08, 0.10, 0.10, 0.09]]    [[1.0]]      [1.0] _/
o1.0_724      {120}    [[0.13, 0.09, 0.14, 0.07, 0.10, 0.09, 0.05, 0.09, 0.07, 0.13]]    [[2.0]]      [1.0]
o1.0_966      {124}    [[0.06, 0.14, 0.11, 0.11, 0.08, 0.08, 0.08, 0.08, 0.10, 0.12]]    [[1.0]]      [1.0] _/
o1.0_722       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [1.0]
o1.0_729      {136}    [[0.06, 0.13, 0.09, 0.10, 0.13, 0.10, 0.09, 0.10, 0.02, 0.13]]    [[1.0]]      [1.0] _/
o5.0_254      {120}    [[0.10, 0.10, 0.15, 0.08, 0.05, 0.09, 0.10, 0.12, 0.05, 0.13]]    [[2.0]]      [5.0]
o1.0_728      {136}    [[0.06, 0.13, 0.09, 0.10, 0.13, 0.10, 0.09, 0.10, 0.02, 0.13]]    [[1.0]]      [1.0] _/
o1.0_727      {120}    [[0.13, 0.09, 0.14, 0.07, 0.10, 0.09, 0.05, 0.09, 0.07, 0.13]]    [[2.0]]      [1.0]
o1.0_726      {120}    [[0.13, 0.09, 0.14, 0.07, 0.10, 0.09, 0.05, 0.09, 0.07, 0.13]]    [[2.0]]      [1.0]
o1.0_968      {132}    [[0.07, 0.14, 0.09, 0.09, 0.12, 0.04, 0.12, 0.11, 0.08, 0.10]]    [[1.0]]      [1.0] _/
o5.0_256      {108}    [[0.09, 0.13, 0.07, 0.06, 0.09, 0.12, 0.12, 0.08, 0.08, 0.12]]    [[1.0]]      [5.0]
o2.0_714       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [2.0]
o2.0_716      {128}    [[0.10, 0.09, 0.07, 0.10, 0.08, 0.11, 0.10, 0.10, 0.07, 0.12]]    [[9.0]]      [2.0]
o7.0_583      {136}    [[0.11, 0.07, 0.11, 0.11, 0.09, 0.04, 0.07, 0.09, 0.11, 0.16]]    [[9.0]]      [7.0]
o7.0_100      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [7.0]
o7.0_101      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [7.0]
o7.0_343      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [7.0]
o7.0_585       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [7.0]
o7.0_587       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [7.0]
o7.0_345      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [7.0]
o3.0_153      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [3.0]
 o9.0_93       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [9.0]
o3.0_151       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [3.0]
o5.0_249       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [5.0]
o1.0_978      {144}    [[0.09, 0.11, 0.11, 0.08, 0.09, 0.12, 0.06, 0.09, 0.09, 0.10]]    [[5.0]]      [1.0]
 o9.0_91       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [9.0] _/
o5.0_421      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [5.0]
o6.0_998      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [6.0]
o0.0_405      {108}    [[0.09, 0.13, 0.07, 0.06, 0.09, 0.12, 0.12, 0.08, 0.08, 0.12]]    [[1.0]]      [0.0]
o8.0_819      {108}    [[0.09, 0.13, 0.07, 0.06, 0.09, 0.12, 0.12, 0.08, 0.08, 0.12]]    [[1.0]]      [8.0]
o4.0_691      {104}    [[0.05, 0.13, 0.10, 0.10, 0.14, 0.05, 0.06, 0.08, 0.08, 0.15]]    [[9.0]]      [4.0]
o5.0_666       {88}    [[0.10, 0.06, 0.10, 0.05, 0.15, 0.10, 0.10, 0.04, 0.09, 0.17]]    [[9.0]]      [5.0]
o0.0_403      {120}    [[0.13, 0.09, 0.14, 0.07, 0.10, 0.09, 0.05, 0.09, 0.07, 0.13]]    [[2.0]]      [0.0]
o0.0_880      {144}    [[0.04, 0.15, 0.09, 0.08, 0.15, 0.07, 0.13, 0.06, 0.06, 0.13]]    [[1.0]]      [0.0]
o4.0_210       {88}    [[0.10, 0.06, 0.10, 0.05, 0.15, 0.10, 0.10, 0.04, 0.09, 0.17]]    [[9.0]]      [4.0]
o4.0_693      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [4.0]
o4.0_212      {128}    [[0.11, 0.08, 0.10, 0.09, 0.10, 0.07, 0.10, 0.08, 0.11, 0.10]]    [[0.0]]      [4.0]
 o7.0_36      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [7.0]
o1.0_980       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [1.0] _/
o1.0_501      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [1.0] _/
o1.0_743       {96}    [[0.13, 0.11, 0.14, 0.04, 0.13, 0.10, 0.10, 0.05, 0.07, 0.09]]    [[2.0]]      [1.0]
o5.0_419      {144}    [[0.08, 0.10, 0.05, 0.10, 0.12, 0.06, 0.08, 0.10, 0.11, 0.15]]    [[9.0]]      [5.0]
o2.0_390      {116}    [[0.05, 0.08, 0.11, 0.12, 0.10, 0.07, 0.10, 0.10, 0.09, 0.14]]    [[9.0]]      [2.0]
o2.0_392      {120}    [[0.07, 0.13, 0.13, 0.09, 0.14, 0.08, 0.06, 0.07, 0.09, 0.10]]    [[4.0]]      [2.0]
 o7.0_34      {100}    [[0.08, 0.19, 0.10, 0.08, 0.10, 0.13, 0.05, 0.12, 0.07, 0.08]]    [[1.0]]      [7.0]
o1.0_746       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [1.0] _/
o1.0_988       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [1.0]
o5.0_657       {88}    [[0.10, 0.06, 0.10, 0.05, 0.15, 0.10, 0.10, 0.04, 0.09, 0.17]]    [[9.0]]      [5.0]
o1.0_745       {52}    [[0.09, 0.17, 0.15, 0.11, 0.05, 0.07, 0.05, 0.07, 0.07, 0.11]]    [[1.0]]      [1.0] _/
o1.0_986      {104}    [[0.05, 0.13, 0.10, 0.10, 0.14, 0.05, 0.06, 0.08, 0.08, 0.15]]    [[9.0]]      [1.0]
o6.0_767      {108}    [[0.09, 0.15, 0.12, 0.08, 0.10, 0.09, 0.06, 0.08, 0.07, 0.12]]    [[1.0]]      [6.0]
o5.0_433      {108}    [[0.08, 0.13, 0.11, 0.08, 0.13, 0.10, 0.07, 0.05, 0.07, 0.13]]    [[1.0]]      [5.0]
o1.0_748      {112}    [[0.05, 0.20, 0.08, 0.04, 0.09, 0.12, 0.05, 0.14, 0.08, 0.10]]    [[1.0]]      [1.0] _/
o0.0_895      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [0.0] _/
o0.0_412       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [0.0]
o6.0_769      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [6.0]
o0.0_897      {124}    [[0.10, 0.07, 0.12, 0.12, 0.12, 0.04, 0.05, 0.12, 0.11, 0.08]]    [[2.0]]      [0.0]
o5.0_431      {124}    [[0.09, 0.11, 0.11, 0.10, 0.13, 0.09, 0.04, 0.08, 0.08, 0.12]]    [[4.0]]      [5.0]
o0.0_891      {108}    [[0.09, 0.15, 0.12, 0.08, 0.10, 0.09, 0.06, 0.08, 0.07, 0.12]]    [[1.0]]      [0.0]
o7.0_952      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [7.0]
o0.0_893      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [0.0] _/
o0.0_410       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [0.0]
o4.0_441      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [4.0]
o8.0_821      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [8.0]
o4.0_201      {132}    [[0.07, 0.14, 0.09, 0.09, 0.12, 0.04, 0.12, 0.11, 0.08, 0.10]]    [[1.0]]      [4.0]
 o7.0_48      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [7.0]
o1.0_750      {112}    [[0.05, 0.20, 0.08, 0.04, 0.09, 0.12, 0.05, 0.14, 0.08, 0.10]]    [[1.0]]      [1.0] _/
 o2.0_90       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [2.0]
