Reading /home/ssamal/workspace/conexpng/floating_codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:386
	Completed reading 490 records
No of Objects: 500
No of attributes: 64
No of concepts: 2080
Read time: 5848ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
o7.0_454       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [7.0]
o7.0_213       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [7.0]
o5.0_153       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [5.0]
o5.0_159       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [5.0]
o5.0_397       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [5.0]
o5.0_279       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [5.0]
o0.0_138       {77}    [[0.05, 0.19, 0.00, 0.07, 0.14, 0.03, 0.15, 0.03, 0.06, 0.23]]    [[9.0]]      [0.0]
o0.0_139       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [0.0]
o7.0_314       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [7.0]
o0.0_375       {71}    [[0.05, 0.16, 0.08, 0.09, 0.11, 0.02, 0.07, 0.08, 0.12, 0.16]]    [[1.0]]      [0.0]
o0.0_376       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [0.0] _/
o5.0_394       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [5.0]
 o8.0_50       {75}    [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]    [[4.0]]      [8.0]
o0.0_373       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [0.0]
 o5.0_97       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [5.0]
o0.0_490       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [0.0]
 o5.0_92       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [5.0]
 o8.0_58       {67}    [[0.07, 0.04, 0.02, 0.16, 0.07, 0.16, 0.02, 0.05, 0.23, 0.11]]    [[8.0]]      [8.0] _/
o7.0_200       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [7.0] _/
o7.0_201       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [7.0]
 o5.0_94       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [5.0]
o7.0_322       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [7.0]
 o5.0_95       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [5.0]
o2.0_305       {77}    [[0.14, 0.10, 0.12, 0.12, 0.06, 0.14, 0.07, 0.09, 0.02, 0.09]]    [[0.0]]      [2.0]
o5.0_166       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [5.0]
 o1.0_91       {68}    [[0.10, 0.20, 0.10, 0.19, 0.05, 0.05, 0.07, 0.02, 0.07, 0.10]]    [[1.0]]      [1.0] _/
o2.0_407       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [2.0]
 o1.0_96       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [1.0]
o0.0_387       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [0.0]
 o1.0_98       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [1.0]
o7.0_426       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]    [[6.0]]      [7.0]
o7.0_427       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]    [[7.0]]      [7.0] _/
 o8.0_61       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]    [[7.0]]      [8.0]
o0.0_140       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [0.0] _/
o5.0_162       {67}    [[0.07, 0.04, 0.02, 0.16, 0.07, 0.16, 0.02, 0.05, 0.23, 0.11]]    [[8.0]]      [5.0]
o5.0_281       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [5.0]
o2.0_411       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [2.0]
o9.0_409       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [9.0]
o3.0_180       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [3.0] _/
o5.0_291       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [5.0]
o0.0_277       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [0.0]
o0.0_399       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [0.0] _/
o0.0_271       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [0.0]
o5.0_173       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [5.0]
o0.0_393       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [0.0]
o7.0_419       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [7.0]
 o5.0_75       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [5.0]
 o4.0_26       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [4.0]
o7.0_420       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [7.0]
o3.0_198       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [3.0] _/
  o4.0_9       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [4.0]
 o5.0_79       {66}    [[0.12, 0.00, 0.13, 0.18, 0.12, 0.07, 0.16, 0.12, 0.01, 0.06]]    [[3.0]]      [5.0]
o5.0_465       {67}    [[0.07, 0.04, 0.02, 0.16, 0.07, 0.16, 0.02, 0.05, 0.23, 0.11]]    [[8.0]]      [5.0]
o5.0_466       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [5.0]
o5.0_347       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [5.0]
o5.0_104       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [5.0]
 o9.0_85       {74}    [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]    [[5.0]]      [9.0]
o7.0_369       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [7.0]
o0.0_284       {77}    [[0.10, 0.15, 0.07, 0.10, 0.15, 0.07, 0.07, 0.07, 0.10, 0.06]]    [[1.0]]      [0.0]
o7.0_372       {71}    [[0.05, 0.16, 0.08, 0.09, 0.11, 0.02, 0.07, 0.08, 0.12, 0.16]]    [[1.0]]      [7.0]
o7.0_132       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]    [[7.0]]      [7.0] _/
o7.0_495       {68}    [[0.10, 0.20, 0.10, 0.19, 0.05, 0.05, 0.07, 0.02, 0.07, 0.10]]    [[1.0]]      [7.0]
o7.0_496       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]    [[6.0]]      [7.0]
o7.0_497       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]    [[8.0]]      [7.0]
o3.0_168       {71}    [[0.23, 0.08, 0.08, 0.19, 0.02, 0.04, 0.08, 0.15, 0.07, 0.01]]    [[0.0]]      [3.0]
 o4.0_56       {75}    [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]    [[4.0]]      [4.0] _/
o3.0_288       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [3.0]
o7.0_499       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [7.0]
 o9.0_82       {77}    [[0.05, 0.19, 0.00, 0.07, 0.14, 0.03, 0.15, 0.03, 0.06, 0.23]]    [[9.0]]      [9.0] _/
o5.0_217       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [5.0]
 o4.0_51       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [4.0] _/
 o9.0_81       {71}    [[0.05, 0.16, 0.08, 0.09, 0.11, 0.02, 0.07, 0.08, 0.12, 0.16]]    [[1.0]]      [9.0]
o3.0_161       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [3.0]
o5.0_230       {70}    [[0.15, 0.07, 0.08, 0.08, 0.24, 0.10, 0.11, 0.07, 0.01, 0.05]]    [[4.0]]      [5.0]
o5.0_472       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [5.0]
o7.0_119       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [7.0]
o0.0_293       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [0.0]
o0.0_175       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [0.0]
o7.0_482       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [7.0]
o7.0_120       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [7.0] _/
o7.0_242       {80}    [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]    [[4.0]]      [7.0]
 o4.0_47       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [4.0]
o7.0_485       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [7.0] _/
o7.0_486       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [7.0]
 o4.0_45       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [4.0] _/
o3.0_297       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [3.0]
 o4.0_43       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [4.0] _/
o3.0_294       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]    [[8.0]]      [3.0]
o3.0_290       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [3.0]
o5.0_366       {80}    [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]    [[4.0]]      [5.0]
o9.0_210       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [9.0]
o9.0_331       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [9.0]
o7.0_227       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [7.0]
o0.0_184       {74}    [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]    [[5.0]]      [0.0]
o9.0_326       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [9.0]
o0.0_181       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [0.0]
o7.0_231       {80}    [[0.16, 0.01, 0.05, 0.07, 0.02, 0.11, 0.03, 0.25, 0.18, 0.08]]    [[7.0]]      [7.0] _/
o3.0_268       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [3.0] _/
o9.0_323       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [9.0]
o3.0_146       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [3.0]
o7.0_355       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]    [[7.0]]      [7.0] _/
o9.0_446       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [9.0]
o3.0_265       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [3.0] _/
o3.0_143       {67}    [[0.07, 0.04, 0.02, 0.16, 0.07, 0.16, 0.02, 0.05, 0.23, 0.11]]    [[8.0]]      [3.0]
  o3.0_0       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [3.0]
o3.0_141       {78}    [[0.02, 0.07, 0.08, 0.19, 0.11, 0.08, 0.00, 0.07, 0.19, 0.14]]    [[3.0]]      [3.0] _/
o3.0_261       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [3.0]
 o4.0_71       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [4.0]
o5.0_133       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [5.0]
o5.0_136       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [5.0]
o9.0_318       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [9.0]
o7.0_345       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [7.0]
o3.0_275       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [3.0]
 o5.0_39       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [5.0]
o5.0_129       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [5.0]
o3.0_151       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [3.0]
o9.0_319       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [9.0]
 o4.0_60       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [4.0] _/
 o9.0_48       {67}    [[0.07, 0.04, 0.02, 0.16, 0.07, 0.16, 0.02, 0.05, 0.23, 0.11]]    [[8.0]]      [9.0]
o0.0_406       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [0.0]
  o9.0_4       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [9.0]
o5.0_303       {67}    [[0.07, 0.04, 0.02, 0.16, 0.07, 0.16, 0.02, 0.05, 0.23, 0.11]]    [[8.0]]      [5.0]
 o0.0_68       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [0.0]
o0.0_401       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [0.0]
 o0.0_67       {82}    [[0.09, 0.06, 0.06, 0.06, 0.04, 0.18, 0.20, 0.07, 0.09, 0.10]]    [[6.0]]      [0.0]
o4.0_214       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]    [[6.0]]      [4.0]
o4.0_335       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]    [[6.0]]      [4.0]
o2.0_278       {78}    [[0.02, 0.07, 0.08, 0.19, 0.11, 0.08, 0.00, 0.07, 0.19, 0.14]]    [[3.0]]      [2.0]
o3.0_128       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [3.0]
o3.0_368       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [3.0]
o3.0_126       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [3.0] _/
o4.0_328       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [4.0]
 o2.0_80       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [2.0]
o3.0_122       {70}    [[0.14, 0.10, 0.07, 0.18, 0.20, 0.07, 0.00, 0.15, 0.05, 0.01]]    [[4.0]]      [3.0]
 o9.0_40       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [9.0]
o2.0_391       {68}    [[0.10, 0.20, 0.10, 0.19, 0.05, 0.05, 0.07, 0.02, 0.07, 0.10]]    [[1.0]]      [2.0]
 o7.0_31       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]    [[7.0]]      [7.0] _/
 o2.0_89       {57}    [[0.07, 0.05, 0.07, 0.15, 0.15, 0.10, 0.14, 0.03, 0.17, 0.03]]    [[8.0]]      [2.0]
o5.0_416       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [5.0]
o6.0_404       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [6.0]
 o0.0_76       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [0.0]
o0.0_417       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [0.0]
o5.0_313       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [5.0]
o5.0_435       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [5.0]
 o0.0_73       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [0.0]
o0.0_414       {70}    [[0.15, 0.07, 0.08, 0.08, 0.24, 0.10, 0.11, 0.07, 0.01, 0.05]]    [[4.0]]      [0.0]
o4.0_444       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [4.0] _/
o4.0_440       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [4.0]
o4.0_443       {56}    [[0.10, 0.03, 0.07, 0.08, 0.17, 0.08, 0.07, 0.10, 0.14, 0.10]]    [[4.0]]      [4.0] _/
o4.0_317       {62}    [[0.12, 0.08, 0.04, 0.14, 0.11, 0.14, 0.08, 0.06, 0.06, 0.12]]    [[3.0]]      [4.0]
o3.0_256       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]    [[6.0]]      [3.0]
o3.0_134       {79}    [[0.02, 0.21, 0.15, 0.16, 0.06, 0.03, 0.07, 0.10, 0.06, 0.10]]    [[1.0]]      [3.0]
 o7.0_44       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [7.0] _/
o3.0_252       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [3.0]
o3.0_131       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]    [[4.0]]      [3.0]
  o9.0_1       {54}    [[0.18, 0.00, 0.07, 0.14, 0.05, 0.03, 0.09, 0.22, 0.03, 0.14]]    [[7.0]]      [9.0]
o2.0_263       {77}    [[0.14, 0.10, 0.12, 0.12, 0.06, 0.14, 0.07, 0.09, 0.02, 0.09]]    [[0.0]]      [2.0]
o2.0_144       {66}    [[0.12, 0.00, 0.13, 0.18, 0.12, 0.07, 0.16, 0.12, 0.01, 0.06]]    [[3.0]]      [2.0]
 o0.0_42       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [0.0]
o4.0_351       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [4.0]
o0.0_429       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [0.0] _/
