Reading /home/ssamal/workspace/conexpng/floating_codings100_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:325
	Completed reading 90 records
No of Objects: 100
No of attributes: 64
No of concepts: 2080
Read time: 1011ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
 o2.0_14        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [2.0] _/
 o7.0_44       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [7.0]
  o0.0_7       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [0.0]
  o0.0_5       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [0.0]
 o7.0_46       {11}    [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]    [[1.0]]      [7.0]
 o4.0_84       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [4.0]
  o0.0_9       {11}    [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]    [[6.0]]      [0.0]
 o1.0_92       {11}    [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]    [[1.0]]      [1.0] _/
 o1.0_94       {14}    [[0.00, 0.28, 0.21, 0.00, 0.14, 0.00, 0.00, 0.14, 0.21, 0.00]]    [[1.0]]      [1.0] _/
 o6.0_42        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [6.0]
 o1.0_13       {12}    [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[1.0]]      [1.0] _/
 o3.0_62       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [3.0] _/
 o8.0_64       {11}    [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]    [[6.0]]      [8.0]
 o8.0_63       {13}    [[0.07, 0.07, 0.07, 0.15, 0.15, 0.00, 0.00, 0.00, 0.23, 0.23]]    [[8.0]]      [8.0] _/
 o8.0_69       {14}    [[0.00, 0.28, 0.21, 0.00, 0.14, 0.00, 0.00, 0.14, 0.21, 0.00]]    [[1.0]]      [8.0]
  o2.0_3       {14}    [[0.00, 0.28, 0.07, 0.21, 0.00, 0.21, 0.07, 0.07, 0.07, 0.00]]    [[1.0]]      [2.0]
 o7.0_95        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [7.0]
 o3.0_57        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [3.0]
 o1.0_22       {13}    [[0.07, 0.07, 0.07, 0.15, 0.15, 0.00, 0.00, 0.00, 0.23, 0.23]]    [[8.0]]      [1.0]
 o1.0_23       {12}    [[0.16, 0.16, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.08, 0.08]]    [[3.0]]      [1.0]
 o3.0_50       {12}    [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]    [[3.0]]      [3.0] _/
 o3.0_51       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [3.0] _/
 o4.0_19       {14}    [[0.07, 0.07, 0.00, 0.28, 0.14, 0.14, 0.07, 0.07, 0.07, 0.07]]    [[3.0]]      [4.0]
 o5.0_77       {12}    [[0.25, 0.00, 0.00, 0.08, 0.16, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[0.0]]      [5.0]
 o4.0_24       {12}    [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]    [[3.0]]      [4.0]
 o2.0_76        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [2.0] _/
 o2.0_78       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [2.0] _/
 o0.0_21       {15}    [[0.20, 0.13, 0.06, 0.13, 0.06, 0.20, 0.06, 0.06, 0.06, 0.00]]    [[0.0]]      [0.0] _/
 o6.0_68       {15}    [[0.00, 0.13, 0.00, 0.00, 0.26, 0.00, 0.26, 0.06, 0.13, 0.13]]    [[4.0]]      [6.0]
 o9.0_86       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [9.0]
 o1.0_30       {11}    [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]    [[1.0]]      [1.0] _/
  o8.0_0       {15}    [[0.00, 0.06, 0.00, 0.20, 0.06, 0.13, 0.13, 0.00, 0.26, 0.13]]    [[8.0]]      [8.0] _/
 o1.0_31       {11}    [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]    [[1.0]]      [1.0] _/
  o8.0_2        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [8.0]
 o6.0_65       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [6.0]
 o1.0_37       {13}    [[0.15, 0.15, 0.00, 0.15, 0.15, 0.00, 0.15, 0.07, 0.07, 0.07]]    [[0.0]]      [1.0]
 o1.0_27       {12}    [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[1.0]]      [1.0] _/
 o2.0_40       {14}    [[0.00, 0.14, 0.07, 0.07, 0.07, 0.14, 0.00, 0.14, 0.21, 0.14]]    [[8.0]]      [2.0]
 o4.0_59       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [4.0]
 o8.0_88       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [8.0]
 o4.0_55       {12}    [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o2.0_47        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [2.0] _/
 o4.0_53       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [4.0]
 o2.0_49       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [2.0] _/
 o7.0_74       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [7.0]
 o6.0_79       {14}    [[0.28, 0.28, 0.00, 0.00, 0.00, 0.14, 0.07, 0.14, 0.07, 0.00]]    [[0.0]]      [6.0]
 o7.0_80       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [7.0]
 o3.0_33       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o3.0_38       {12}    [[0.25, 0.08, 0.00, 0.16, 0.16, 0.08, 0.16, 0.00, 0.00, 0.08]]    [[0.0]]      [3.0]
 o8.0_93       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [8.0]
  o1.0_8       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [1.0]
 o1.0_48       {12}    [[0.16, 0.16, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.08, 0.08]]    [[3.0]]      [1.0]
 o6.0_70       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [6.0]
 o4.0_43       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [4.0] _/
 o9.0_73       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [9.0]
 o4.0_41       {12}    [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o8.0_16       {12}    [[0.08, 0.08, 0.16, 0.00, 0.16, 0.08, 0.16, 0.00, 0.16, 0.08]]    [[2.0]]      [8.0]
 o0.0_26       {13}    [[0.07, 0.53, 0.00, 0.00, 0.00, 0.07, 0.15, 0.15, 0.00, 0.00]]    [[1.0]]      [0.0]
 o5.0_58        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [5.0]
 o0.0_85       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [0.0]
 o0.0_83       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [0.0] _/
 o9.0_29       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [9.0]
 o3.0_20       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [3.0] _/
  o3.0_1       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [3.0]
 o7.0_56       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [7.0]
 o4.0_72       {11}    [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]    [[6.0]]      [4.0]
 o0.0_98       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [0.0] _/
 o6.0_15       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [6.0]
 o9.0_11       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [9.0]
 o6.0_17       {14}    [[0.00, 0.07, 0.28, 0.21, 0.00, 0.00, 0.14, 0.00, 0.21, 0.07]]    [[2.0]]      [6.0]
 o1.0_60       {12}    [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[1.0]]      [1.0] _/
 o9.0_10       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [9.0]
 o0.0_99       {12}    [[0.25, 0.00, 0.00, 0.08, 0.16, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[0.0]]      [0.0] _/
 o3.0_90       {12}    [[0.16, 0.16, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.08, 0.08]]    [[3.0]]      [3.0] _/
 o3.0_91       {10}    [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o6.0_97       {11}    [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]    [[0.0]]      [6.0]
 o9.0_18       {12}    [[0.25, 0.08, 0.00, 0.16, 0.16, 0.08, 0.16, 0.00, 0.00, 0.08]]    [[0.0]]      [9.0]
 o6.0_12        {9}    [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]    [[2.0]]      [6.0]
 o8.0_36       {12}    [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]    [[3.0]]      [8.0]
 o5.0_39       {11}    [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]    [[3.0]]      [5.0]
 o7.0_67       {13}    [[0.00, 0.00, 0.00, 0.15, 0.15, 0.15, 0.07, 0.38, 0.00, 0.07]]    [[7.0]]      [7.0] _/
 o5.0_35       {12}    [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]    [[3.0]]      [5.0]
 o7.0_61       {12}    [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]    [[4.0]]      [7.0]

Objects classified correctly: 32
Total objects: 100
Success: 32.0%
