Reading /home/ssamal/workspace/conexpng/binary_codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:394
	Completed reading 490 records
No of Objects: 500
No of attributes: 64
No of concepts: 2080
Read time: 5797ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
    o4_9       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [4]
   o1_34       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [1]
  o4_108       {83}    [[0.07, 0.14, 0.09, 0.09, 0.19, 0.06, 0.03, 0.07, 0.18, 0.04]]      [[4]]        [4] _/
  o5_291       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
   o0_57       {75}    [[0.25, 0.08, 0.08, 0.18, 0.02, 0.05, 0.09, 0.14, 0.06, 0.01]]      [[0]]        [0] _/
  o5_173       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [5]
  o3_408       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o4_214       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [4]
  o4_335       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [4]
   o1_63       {77}    [[0.23, 0.20, 0.06, 0.07, 0.05, 0.03, 0.14, 0.11, 0.02, 0.03]]      [[0]]        [1]
   o2_35       {71}    [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [2]
   o2_36       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [2]
   o2_29       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [2]
  o3_415       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
  o4_440       {71}    [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [4]
    o3_0       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [3]
  o4_444       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o4_443       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o4_328       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [4]
   o1_55       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [1]
   o1_49       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
  o5_193       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [5]
   o2_18       {87}    [[0.06, 0.17, 0.12, 0.09, 0.10, 0.02, 0.06, 0.06, 0.13, 0.13]]      [[1]]        [2]
  o3_402       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o4_272       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [4]
  o4_395       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o4_158       {74}    [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[5]]        [4]
   o3_25       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [3]
  o2_305       {65}    [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[4]]        [2]
   o3_22       {71}    [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [3] _/
  o3_473       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [3] _/
  o3_110       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [3]
  o6_163       {86}    [[0.04, 0.10, 0.11, 0.12, 0.02, 0.11, 0.09, 0.23, 0.12, 0.01]]      [[7]]        [6]
  o5_366       {80}    [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [5]
  o3_234       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [3]
  o3_236       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
  o3_479       {71}    [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [3] _/
  o3_358       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [3]
  o5_129       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [5]
  o4_380       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [4]
  o4_386       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
   o1_78       {77}    [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [1]
  o6_299       {74}    [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[5]]        [6]
  o6_179       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [6] _/
  o3_106       {81}    [[0.03, 0.07, 0.04, 0.14, 0.19, 0.07, 0.01, 0.12, 0.17, 0.11]]      [[4]]        [3]
  o5_133       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
  o6_295       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [6]
  o5_136       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [5]
  o3_223       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [3]
  o3_468       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [3] _/
  o4_492       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [4]
  o4_250       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [4]
   o2_72       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [2]
  o4_494       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [4]
  o4_378       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [4]
  o2_407       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [2]
   o3_46       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
   o2_74       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [2]
  o3_451       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o5_381       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [5]
  o6_189       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [6]
  o6_188       {78}    [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [6]
  o3_216       {75}    [[0.25, 0.08, 0.08, 0.18, 0.02, 0.05, 0.09, 0.14, 0.06, 0.01]]      [[0]]        [3]
  o3_333       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [3]
  o4_481       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [4]
  o4_363       {65}    [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[4]]        [4] _/
   o1_91       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   o1_96       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [1]
  o4_245       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [4]
  o4_124       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o2_411       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [2]
  o4_249       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [4]
   o1_98       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [1]
  o3_441       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
   o2_59       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [2]
   o3_27       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [3]
  o5_394       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [5]
  o5_153       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [5]
  o5_397       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [5]
  o3_206       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [3]
  o3_449       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [3]
  o5_279       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [5]
  o5_159       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [5]
  o3_202       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o6_191       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [6]
  o2_101       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [2]
  o2_222       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [2]
  o2_344       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [2]
  o9_331       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [9]
  o9_210       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [9]
  o4_197       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o8_405       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
  o2_469       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [2]
   o3_66       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [3]
  o2_346       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [2]
  o3_275       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [3]
  o1_425       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [1]
  o3_151       {65}    [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[4]]        [3]
  o9_446       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [9]
  o9_326       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [9]
  o4_190       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o4_183       {65}    [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[4]]        [4] _/
   o2_80       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [2]
  o4_185       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o9_323       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [9]
  o2_470       {74}    [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[5]]        [2]
    o0_2       {71}    [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [0]
   o2_89       {65}    [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[4]]        [2]
  o2_239       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [2]
    o0_7       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
   o4_26       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [4] _/
   o3_52       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
  o2_356       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [2]
  o3_143       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [3]
  o3_265       {77}    [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [3] _/
  o3_261       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o3_141       {77}    [[0.15, 0.09, 0.07, 0.18, 0.19, 0.07, 0.00, 0.15, 0.05, 0.01]]      [[4]]        [3]
  o9_318       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [9]
  o3_146       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [3]
  o3_268       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
  o1_312       {76}    [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
  o9_319       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [9]
   o3_83       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
   o4_51       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o9_114       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [9]
  o9_476       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [9]
  o8_424       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
   o4_56       {75}    [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [4] _/
  o8_428       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
  o8_430       {76}    [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [8] _/
  o3_131       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [3]
  o3_252       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [3]
  o1_403       {74}    [[0.14, 0.12, 0.04, 0.17, 0.14, 0.08, 0.04, 0.12, 0.04, 0.08]]      [[3]]        [1]
  o3_134       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [3] _/
  o9_105       {75}    [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [9]
  o9_467       {71}    [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [9]
  o3_256       {66}    [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [3]
   o3_70       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o9_341       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [9]
   o4_47       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [4]
  o4_167       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o8_413       {72}    [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
   o4_43       {70}    [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [4] _/
  o2_458       {63}    [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [2]
   o4_45       {60}    [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [4] _/
  o3_122       {75}    [[0.25, 0.08, 0.08, 0.18, 0.02, 0.05, 0.09, 0.14, 0.06, 0.01]]      [[0]]        [3]
  o8_422       {76}    [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [8] _/
  o8_300       {66}    [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [8]
  o1_418       {77}    [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [1]
  o8_421       {81}    [[0.03, 0.07, 0.04, 0.14, 0.19, 0.07, 0.01, 0.12, 0.17, 0.11]]      [[4]]        [8]
  o9_457       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [9]
  o3_128       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o9_456       {85}    [[0.03, 0.07, 0.04, 0.11, 0.11, 0.07, 0.04, 0.16, 0.16, 0.16]]      [[7]]        [9]
  o9_459       {71}    [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [9]
  o3_368       {60}    [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [3] _/
  o3_126       {71}    [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [3] _/
   o4_71       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [4]
  o2_144       {70}    [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [2]
  o0_414       {75}    [[0.25, 0.08, 0.08, 0.18, 0.02, 0.05, 0.09, 0.14, 0.06, 0.01]]      [[0]]        [0] _/
  o2_263       {78}    [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [2]
  o0_417       {69}    [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
  o1_225       {77}    [[0.23, 0.20, 0.06, 0.07, 0.05, 0.03, 0.14, 0.11, 0.02, 0.03]]      [[0]]        [1]
