Reading thesis/data/mnist2/binary_codings_1.fccsv
No of Objects: 100
No of attributes: 64
No of concepts: 2081

-----------------------------------------------------------------------------------------------------------------------
  Train/  Object     Extent                                 Probabilities  Predicted     Actual
   Test                Size              [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]      Class      Class
   train   o1_48       {12} [[0.16, 0.16, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.08, 0.08]]      [[3]]        [1]
   train   o6_97       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [6]
   train   o4_72       {11} [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]      [[6]]        [4]
   train   o9_86       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [9]
   train   o7_61       {12} [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]      [[4]]        [7]
   train   o6_17       {14} [[0.14, 0.14, 0.07, 0.21, 0.07, 0.00, 0.07, 0.00, 0.07, 0.21]]      [[9]]        [6]
   train   o6_15       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [6]
    test   o1_89       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [1]
   train   o3_20       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [3]
   train   o8_36       {12} [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]      [[3]]        [8]
   train   o7_67       {13} [[0.00, 0.00, 0.00, 0.15, 0.15, 0.15, 0.07, 0.38, 0.00, 0.07]]      [[7]]        [7] _/
    test   o6_12        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [6]
   train   o1_87       {13} [[0.07, 0.53, 0.00, 0.00, 0.00, 0.07, 0.15, 0.15, 0.00, 0.00]]      [[1]]        [1] _/
   train   o0_26       {13} [[0.07, 0.53, 0.00, 0.00, 0.00, 0.07, 0.15, 0.15, 0.00, 0.00]]      [[1]]        [0]
    test   o2_49       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [2]
   train    o2_3       {14} [[0.00, 0.28, 0.07, 0.21, 0.00, 0.21, 0.07, 0.07, 0.07, 0.00]]      [[1]]        [2]
   train   o1_71       {12} [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]      [[4]]        [1]
   train   o3_90       {12} [[0.16, 0.16, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.08, 0.08]]      [[3]]        [3] _/
   train   o9_73       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [9]
   train   o3_91       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [3] _/
   train   o1_75       {13} [[0.07, 0.53, 0.00, 0.00, 0.00, 0.07, 0.15, 0.15, 0.00, 0.00]]      [[1]]        [1] _/
   train   o5_39       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [5]
   train   o2_47        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [2] _/
   train   o2_40       {14} [[0.00, 0.14, 0.07, 0.07, 0.07, 0.14, 0.00, 0.14, 0.21, 0.14]]      [[8]]        [2]
    test   o5_35       {12} [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]      [[3]]        [5]
    test   o7_56       {12} [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]      [[4]]        [7]
   train   o0_21       {15} [[0.20, 0.00, 0.06, 0.20, 0.06, 0.00, 0.13, 0.00, 0.00, 0.33]]      [[9]]        [0]
    test   o6_32       {14} [[0.21, 0.07, 0.07, 0.14, 0.14, 0.00, 0.07, 0.14, 0.14, 0.00]]      [[0]]        [6]
   train   o8_54       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [8] _/
   train   o4_96       {12} [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]      [[4]]        [4] _/
   train   o8_52       {12} [[0.08, 0.08, 0.16, 0.00, 0.16, 0.08, 0.16, 0.00, 0.16, 0.08]]      [[8]]        [8] _/
    test   o2_78       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [2]
    test   o9_29       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [9]
   train   o1_23       {12} [[0.16, 0.16, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.08, 0.08]]      [[3]]        [1]
   train   o1_22       {13} [[0.00, 0.07, 0.00, 0.23, 0.07, 0.07, 0.15, 0.15, 0.15, 0.07]]      [[3]]        [1]
   train   o2_76        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [2] _/
   train   o6_34       {14} [[0.21, 0.07, 0.07, 0.07, 0.07, 0.07, 0.14, 0.14, 0.07, 0.07]]      [[0]]        [6]
   train   o3_38       {12} [[0.25, 0.08, 0.00, 0.16, 0.16, 0.08, 0.16, 0.00, 0.00, 0.08]]      [[0]]        [3]
   train   o7_80       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [7]
   train   o8_45       {12} [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]      [[4]]        [8]
   train   o9_11       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [9]
   train   o7_74       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [7]
   train   o9_10       {12} [[0.08, 0.00, 0.33, 0.08, 0.00, 0.08, 0.00, 0.08, 0.16, 0.16]]      [[2]]        [9]
   train   o4_84       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [4]
   train   o1_92       {11} [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]      [[7]]        [1]
   train   o6_28       {12} [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]      [[4]]        [6]
   train    o1_8       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [1]
   train   o5_58        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [5]
   train   o9_18       {12} [[0.25, 0.08, 0.00, 0.16, 0.16, 0.08, 0.16, 0.00, 0.00, 0.08]]      [[0]]        [9]
   train   o1_94       {14} [[0.00, 0.28, 0.21, 0.00, 0.14, 0.00, 0.00, 0.14, 0.21, 0.00]]      [[1]]        [1] _/
   train   o1_13       {12} [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]      [[1]]        [1] _/
   train    o9_4       {12} [[0.08, 0.08, 0.16, 0.00, 0.16, 0.08, 0.16, 0.00, 0.16, 0.08]]      [[8]]        [9]
   train   o3_33       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [3] _/

Objects classified correctly: 30
Total objects: 100
Accuracy: 30.0%

Training Objects classified correctly: 27/80
Accuracy: 33.75%

Test Objects classified correctly: 3/20
Accuracy: 15.0%
